Year,SongTitle,IntroLength,SongLength,Ranking50,Genre,Language,Ranking
2020,The Bones,11,197,0,Pop,English,9
2020,Someone You Loved,8,182,0,Pop,English,10
2020,Say So,8,238,0,Pop,English,11
2020,I Hope,11,212,0,Pop,English,12
2020,Whats Poppin,0,227,0,Hiphop,English,13
2020,Dance Monkey,8,210,0,Pop,English,14
2020,Savage,10,155,0,Hiphop,English,15
2020,Roxanne,14,164,0,Hiphop,English,16
2020,Intentions,12,213,0,Pop,English,17
2020,Everything I wanted,16,245,0,Pop,English,18
2020,Roses,1,177,0,Pop,English,19
2020,Watermelon Sugar,0,174,0,Pop,English,20
2020,Before You Go,2,215,0,Pop,English,21
2020,Falling,14,159,0,Hiphop,English,22
2020,"10,000 Hours",2,168,0,Pop,English,23
2020,WAP,5,188,0,Hiphop,English,24
2020,Ballin',18,180,0,Hiphop,English,25
2020,Hot Girl Bummer,0,188,0,Pop,English,26
2020,Blueberry Faygo,19,163,0,Hiphop,English,27
2020,Heartless,22,198,0,Hiphop,English,28
2020,BOP,14,160,0,Hiphop,English,29
2020,Lose You To Love Me,9,206,0,Pop,English,30
2020,Good As Hell,0,160,0,Pop,English,31
2020,Toosie Slide,9,247,0,Hiphop,English,32
2020,Break My Heart,8,222,0,Pop,English,33
2020,Chasin' You,5,205,0,Country,English,34
2020,Savage Love (Laxed-Siren Beat),14,171,0,LatinPop,English,35
2020,No Guidance,9,261,0,Hiphop,English,36
2020,My Oh My,10,171,0,Hiphop,English,37
2020,Dynamite,0,199,0,Pop,English,38
2020,Go Crazy,19,177,0,Hiphop,English,39
2020,High Fashion,18,220,0,Hiphop,English,40
2020,Laugh Now Cry Later,6,261,0,Hiphop,English,41
2020,Woah,12,183,0,Hiphop,English,42
2020,Death Bed,0,173,0,Pop,English,43
2020,Senorita,14,191,0,Pop,English,44
2020,HIGHEST IN THE ROOM,12,176,0,Hiphop,English,45
2020,Bad Guy,13,194,0,Pop,English,46
2020,Mood,9,141,0,Pop,English,47
2020,Rain On Me,1,182,0,Pop,English,48
2020,For The Night,21,190,0,Hiphop,English,49
2020,RITMO (Bad Boys For Life),13,222,0,LatinPop,"English, Spanish",50
2020,Heart On Ice,22,160,1,Hiphop,English,51
2020,Nobody But You,6,195,1,Country,English,52
2020,Trampoline,2,184,1,Pop,English,53
2020,Come & Go,12,205,1,Pop,English,54
2020,Truth Hurts,5,173,1,Pop,English,55
2020,If The World Was Ending,5,209,1,Pop,English,56
2020,We Paid,4,182,1,Hiphop,English,57
2020,Yummy,5,209,1,Pop,English,58
2020,One Man Band,12,186,1,Country,English,59
2020,Got What I Got,9,178,1,Country,English,60
2020,Sunday Best,15,159,1,Pop,English,61
2020,Godzilla,1,211,1,Hiphop,English,62
2020,Bandit,20,189,1,Hiphop,English,63
2020,Party Girl,14,148,1,Hiphop,English,64
2020,Die From A Broken Heart,12,188,1,Country,English,65
2020,Popstar,11,200,1,Pop,English,66
2020,All I Want For Christmas Is You,5,241,1,Pop,English,67
2020,One Of Them Girls,13,189,1,Country,English,68
2020,Hard To Forget,31,205,1,Country,English,69
2020,One Margarita,10,193,1,Country,English,70
2020,Panini,12,115,1,Hiphop,English,71
2020,Hot,20,193,1,Hiphop,English,72
2020,I Hope You're Happy Now,7,199,1,Country,English,73
2020,Emotionally Scarred,21,198,1,Hiphop,English,74
2020,Suicidal,1,226,1,Hiphop,English,75
2020,The Bigger Picture,26,253,1,Hiphop,English,76
2020,Only Human,23,183,1,Pop,English,77
2020,The Woo,5,202,1,Hiphop,English,78
2020,Sum 2 Prove,13,206,1,Hiphop,English,79
2020,Stuck With U,20,228,1,Pop,English,80
2020,Mood Swings,9,213,1,Hiphop,English,81
2020,You Should Be Sad,10,205,1,Pop,English,82
2020,Dior,8,216,1,Hiphop,English,83
2020,Supalonely,5,223,1,Pop,English,84
2020,Even Though I'm Leaving,11,225,1,Country,English,85
2020,The Scotts,22,166,1,Hiphop,English,86
2020,Juicy,10,202,1,Hiphop,English,87
2020,Be Like That,10,191,1,Country,English,88
2020,Homesick,14,205,1,Country,English,89
2020,Rags2Riches,46,167,1,Hiphop,English,90
2020,Bluebird,11,210,1,Country,English,91
2020,Wishing Well,12,195,1,Hiphop,English,92
2020,Does To Me,7,223,1,Country,English,93
2020,P*$$y Fairy (OTW),14,182,1,RnB/Soul,English,94
2020,ily,0,177,1,Pop,English,95
2020,More Than My Hometown,14,217,1,Country,English,96
2020,Lovin On You,23,195,1,Country,English,97
2020,Said Sum,4,155,1,Hiphop,English,98
2020,Slide,18,238,1,Hiphop,English,99
2020,Walk Em Down,11,173,1,Hiphop,English,100
2021,Levitating,4,204,0,Pop,English,1
2021,Save Your Tears,8,216,0,Pop,English,2
2021,Blinding Lights,26,200,0,Pop,English,3
2021,Mood,9,141,0,Pop,English,4
2021,Good 4 U,5,178,0,Pop,English,5
2021,Kiss Me More,8,209,0,Pop,English,6
2021,Leave The Door Open,12,242,0,RnB/Soul,English,7
2021,Drivers License,7,242,0,Pop,English,8
2021,Montero (Call Me By Your Name),6,138,0,Hiphop,English,9
2021,Peaches,9,198,0,Pop,English,10
2021,Butter,4,164,0,Pop,English,11
2021,Stay,10,142,0,Pop,English,12
2021,Deja Vu,10,216,0,Pop,English,13
2021,Positions,6,172,0,Pop,English,14
2021,Bad Habits,9,231,0,Pop,English,15
2021,Heat Waves,2,239,0,Pop,English,16
2021,Without You,10,161,0,Pop,English,17
2021,Forever After All,12,233,0,Country,English,18
2021,Go Crazy,19,177,0,Hiphop,English,19
2021,Astronaut In The Open,14,133,0,Hiphop,English,20
2021,34+35,0,174,0,Pop,English,21
2021,What You Know Bout Love,22,160,0,Hiphop,English,22
2021,My Ex's Best Friend,0,139,0,Pop,English,23
2021,Industry Baby,5,212,0,Hiphop,English,24
2021,Therefore I Am,3,174,0,Pop,English,25
2021,Up,5,157,0,Hiphop,English,26
2021,Fancy Like,11,162,0,Country,English,27
2021,Dakiti,15,205,0,LatinPop,Spanish,28
2021,Best Friend,9,156,0,Hiphop,English,29
2021,Rapstar,10,166,0,Hiphop,English,30
2021,Heartbreak Anniversary,14,198,0,RnB/Soul,English,31
2021,For The Night,21,190,0,Hiphop,English,32
2021,Calling My Phone,16,205,0,Hiphop,English,33
2021,Beauitful Mistakes,9,227,0,Pop,English,34
2021,Holy,5,212,0,Pop,English,35
2021,On Me,2,136,0,Hiphop,English,36
2021,You Broke Me First.,2,169,0,Pop,English,37
2021,Traitor,18,229,0,Pop,English,38
2021,Back In Blood,12,184,0,Hiphop,English,39
2021,I Hope,12,211,0,Pop,English,40
2021,Dynamite,0,199,0,Pop,English,41
2021,Wockesha,21,181,0,Hiphop,English,42
2021,You Right,13,246,0,Pop,English,43
2021,Beat Box,11,110,0,Hiphop,English,44
2021,Laugh Now Cry Later,5,261,0,Hiphop,English,45
2021,Need To Know,14,211,0,Pop,English,46
2021,Wants And Needs,20,193,0,Hiphop,English,47
2021,Way 2 Sexy,13,258,0,Hiphop,English,48
2021,Telepatia,11,160,0,RnB/Soul,"English, Spanish",49
2021,Whoopty,13,123,0,Hiphop,English,50
2021,Lemonade,13,195,1,Hiphop,English,51
2021,Good Days,23,279,1,RnB/Soul,English,52
2021,Starting Over,21,240,1,Country,English,53
2021,Body,9,171,1,Hiphop,English,54
2021,Willow,11,215,1,Pop,English,55
2021,Bang!,6,171,1,Pop,English,56
2021,Better Together,6,220,1,Country,English,57
2021,You're Mines Still,9,221,1,Hiphop,English,58
2021,Every Chance I Get,12,237,1,Hiphop,English,59
2021,Essence,17,248,1,AfroPop,"English, Yoruba",60
2021,Chasing After You,13,208,1,Country,English,61
2021,The Good Ones,9,215,1,Country,English,62
2021,Leave Before You Love Me,6,155,1,Pop,English,63
2021,Glad You Exist,4,145,1,Pop,English,64
2021,Lonely,12,149,1,Pop,English,65
2021,Beggin',0,212,1,Rock,English,66
2021,Streets,0,227,1,RnB/Soul,English,67
2021,What's Next,14,178,1,Hiphop,English,68
2021,Famous Friends,10,166,1,Country,English,69
2021,Lil Bit,7,196,1,Hiphop,English,70
2021,Thot Shit,6,185,1,Hiphop,English,71
2021,Late At Night,18,175,1,Hiphop,English,72
2021,Kings & Queens,0,162,1,Pop,English,73
2021,Anyone,3,191,1,Pop,English,74
2021,Track Star,18,200,1,Hiphop,English,75
2021,Time Today,6,137,1,Hiphop,English,76
2021,Cry Baby,6,138,1,Hiphop,English,77
2021,All I Want For Christmas Is You,5,241,1,Pop,English,78
2021,No More Parties,11,141,1,Hiphop,English,79
2021,What Your Country Song,12,171,1,Country,English,80
2021,One Too Many,10,204,1,Country,English,81
2021,Arcade,12,184,1,Pop,English,82
2021,Yonaguni,9,207,1,LatinPop,Spanish,83
2021,Good Time,2,215,1,Country,English,84
2021,If I Didn't Love You,10,212,1,Country,English,85
2021,Knife Talk,0,243,1,Hiphop,English,86
2021,pov,14,202,1,RnB/Soul,English,87
2021,Just The Way,0,194,1,Country,English,88
2021,Take My Breath,29,220,1,Country,English,89
2021,We're Good,5,166,1,Pop,English,90
2021,Hell Of A View,4,175,1,Country,English,91
2021,Rockin Around The Christmas Tree,6,126,1,Pop,English,92
2021,Put Your Records On,1,210,1,Pop,English,93
2021,Happier Than Ever,4,299,1,Pop,English,94
2021,Single Saturday Night,11,188,1,Country,English,95
2021,Things A Man Oughta Know,24,203,1,Country,English,96
2021,Throat Baby (Go Baby),28,218,1,Hiphop,English,97
2021,Tombstone,20,160,1,Hiphop,English,98
2021,Drinkin' Beer. Talkin' God. Amen.,5,161,1,Country,English,99
2021,Todo de Ti,18,200,1,LatinPop,Spanish,100
2022,Heat Waves,2,239,0,Pop,English,1
2022,As It Was,13,167,0,Pop,English,2
2022,Stay,10,142,0,Pop,English,3
2022,Easy On Me,12,225,0,Pop,English,4
2022,Shivers,11,208,0,Pop,English,5
2022,First Class,3,174,0,Hiphop,English,6
2022,Big Energy,8,173,0,Hiphop,English,7
2022,Ghost,13,213,0,Pop,English,8
2022,Super Gremlin,25,201,0,Hiphop,English,9
2022,Cold Heart (PNAU Remix),14,203,0,Pop,English,10
2022,Wait For U,10,190,0,Hiphop,English,11
2022,About Damn Time,10,192,0,RnB/Soul,English,12
2022,Bad Habits,9,231,0,Pop,English,13
2022,Thats What I Want,5,144,0,Pop,English,14
2022,Enemy,6,173,0,Pop,English,15
2022,Industry Baby,7,212,0,Hiphop,English,16
2022,abcdefu,1,169,0,Pop,English,17
2022,Need To Know,14,211,0,Hiphop,English,18
2022,Wasted On You,15,179,0,Country,English,19
2022,Me Porto Bonito,9,179,0,LatinPop,Spanish,20
2022,Woman,18,173,0,Pop,English,21
2022,Titi Me Pregunto,9,244,0,LatinPop,Spanish,22
2022,Running Up That Hill(A Deal With God),24,299,0,Pop,English,23
2022,We Don't Talk About Bruno,1,216,0,LatinPop,English,24
2022,Late Night Talking,8,178,0,Pop,English,25
2022,I Like You (A Happier Song),8,193,0,Pop,English,26
2022,You Proof,5,157,0,Country,English,27
2022,Bad Habit,0,232,0,Pop,English,28
2022,Sunroof,12,163,0,Pop,English,29
2022,One Right Now,6,193,0,Pop,English,30
2022,Good 4 U,5,178,0,Pop,English,31
2022,Numb Little Bug,10,169,0,Pop,English,32
2022,Jimmy Cooks,24,218,0,Hiphop,English,33
2022,'Til You Can't,11,225,0,Country,English,34
2022,Fancy Like,10,162,0,Country,English,35
2022,The Kind Of Love We Make,19,224,0,Country,English,36
2022,I Ain't Worried,6,148,0,Pop,English,37
2022,Break My Soul,20,278,0,Pop,English,38
2022,Something In The Orange,32,228,0,Country,English,39
2022,Save Your Tears,7,191,0,Pop,English,40
2022,Smokin Out The Window,4,197,0,RnB/Soul,English,41
2022,Levitating,8,204,0,Pop,English,42
2022,In A Minute,21,200,0,Hiphop,English,43
2022,Moscow Rule,14,246,0,LatinPop,Spanish,44
2022,You Right,13,186,0,Pop,English,45
